"Twitter ID","Tamanho da Influência (números mais altos=mais seguidores)","Posição Ideológica (número mais alto = mais à direita)","Semelhança entre seguidores (números próximos=semelhança)"
"redebrasilatual","5.5","100.92622518956092","183.4316702344831"
"blogfeministas","5.5","-16.638085916627098","188.60300712199117"
"Pragmatismo_","5.5","48.73278488090445","212.03465712332968"
"pontejornalismo","5.25","79.75302400882867","145.16239467521987"
"portalvermelho","5.25","35.040342634778455","234.74578412430603"
"JornalGGN","5","62.709942451541465","184.97947640924372"
"BlogNegras","4.75","-7.419213329382766","151.16543088734448"
"contracorrentes","4.75","-1.0371338077852763","179.5583366308986"
"revolushow","4.25","-32.93197564353123","170.86290929503357"
"cbaraodeitarare","3.5","-15.68189156398051","222.20479217333423"
"revistaazmina","3.5","-27.729624175087512","208.69880486010695"
"generonumero","2.75","44.707561800186134","157.23426016580518"
"passapalavra","2.5","9.226546030204057","209.65324353091452"
"Haddad_Fernando","14","198.25022022623926","264.10738085042925"
"ManuelaDavila","12.75","160.3213840038638","283.51488450333346"
"cirogomes","12.25","264.51146480250566","143.6499394467871"
"Marcelodedois","12","193.4018140992724","144.27779970468805"
"LulaOficial","11.5","213.82190993471195","196.79164741832605"
"emicida","11.5","224.16427255812965","119.92459522922161"
"gduvivier","11.5","158.43645716069935","107.97914129085385"
"euclarice","11.25","175.7622670997167","126.49692255551916"
"diImabr","11","213.25533999805185","241.85584737607138"
"MarceloFreixo","11","171.90088964668203","227.6170822611577"
"xicosa","10.75","217.06738488553063","283.02422121030065"
"jeanwyllys_real","10.5","135.80558372709646","194.23475738870658"
"ramos_leandro","9.75","135.64897366295511","164.07917516670767"
"HistoriaNoPaint","9.5","232.14809446275493","210.61693086945124"
"Juninhope08","9.5","256.26918594440895","184.56400953321506"
"leandraleal","9.5","243.63794653728044","132.87880290843475"
"jnflesch","9.25","142.20285756547327","267.8974310429529"
"titimuller","9","193.07784638884772","187.1858575954381"
"gleisi","8.75","267.31235916315256","244.9606732456012"
"ptbrasil","8.75","230.85493620174822","156.0226119065805"
"caetanoveloso","8.75","231.61829684927596","252.76112162066858"
"esuplicy","8.75","181.5091768280507","99.63386710360527"
"lucianagenro","8.75","128.90212402465335","222.9185523112298"
"marcelorubens","8.75","238.28690837632644","286.25192874372874"
"ConversaAfiada","8.25","165.51854083870248","169.6656723414237"
"Pirulla25","8.25","250.49923279747034","252.53712398212002"
"mariadorosario","8.25","175.74580966526156","194.1191121259658"
"luisnassif","8.25","159.35062038330253","258.1233712722571"
"bicmuller","8.25","202.08957678283562","123.7108312533873"
"50ChicoAlencar","8","155.26877802333513","240.50535452714684"
"chicobarney","7.75","222.55973646038237","171.29113267339295"
"tabataamaralsp","7.75","182.78913005632288","281.9032699370089"
"lindberghfarias","7.5","206.89722097165748","176.8925150101327"
"alexnero","7.5","275.2146347776115","124.63811307350089"
"Ticostacruz","7.25","284.49820873165294","138.07683284791108"
"requiaopmdb","7.25","176.98280449952506","297.8314831603626"
"XadrezVerbal","7.25","213.28270634055562","157.56189070161338"
"MussumAlive","7","261.25163682385255","224.2928354083661"
"inst_lula","7","146.23124098240345","137.9571883724207"
"ronaldrios","7","258.8732694221177","123.00749809521784"
"marcogomes","7","237.86473858718617","237.57031728223802"
"BernardoMF","6.75","212.1840044195418","136.70099445320824"
"cialetras","6.75","277.82932482758997","159.2918788454525"
"zdoficial","6.75","227.41315092399424","139.58403572745218"
"gerdwenzel","6.75","267.5765590194951","170.65512762760363"
"sergueirock","6.5","245.91995461136773","225.39988516504735"
"vanessa_grazz","6.5","198.64049496331322","163.36261451696504"
"tarsogenro","6.5","198.37114980883442","286.4028078834292"
"flaviogomes69","6.25","247.1668298778263","152.61520199323948"
"JamilChade","6.25","243.94402499568798","267.6066209810835"
"alessandromolon","6.25","179.99884134217533","251.62005746764692"
"PCdoB_Oficial","6.25","155.58609327547774","217.74982751854225"
"Leoni_a_jato","6","154.04166494453003","192.9247476378059"
"padilhando","6","179.2649521246938","210.00476881426502"
"senadorhumberto","6","194.8060529284267","242.7665780202005"
"GDimenstein","6","253.30065210634675","236.9579271646713"
"paulopaim","6","188.8491185637992","217.68675846494003"
"rfalcao13","6","201.38208138821693","210.5524619260956"
"camposmello","6","190.12835284241712","202.89488502992046"
"zerotoledo","5.75","246.8043867067038","198.34752602114636"
"malugaspar","5.75","189.7003450540115","113.80578068624082"
"andrefran","5.5","199.1664757198064","104.55241119318487"
"startupdareal","5.5","105.56202463059513","229.8421077131926"
"jaqueswagner","5.25","191.40219011454425","298.2558165774855"
"msantoro1978","5.25","189.53628753547815","230.87757537853687"
"AleYoussef","5.25","231.31814573541476","272.24932565024153"
"fatimabezerra","5","163.52513677925808","184.591753207255"
"tuliogadelha","5","152.04573855109817","161.8748360781356"
"costa_rui","4.75","154.18785417262396","204.73771881893597"
"PDT_Nacional","4.5","257.61800994880906","161.04958862625807"
"lidicedamata","4.25","208.98083256206243","111.01262781928504"
"orlandosilva","4.25","182.57311816826504","239.8444800892955"
"MatiasSpektor","3.75","226.37628926753055","232.67932021470116"
"nelsonhbarbosa","3.5","141.77925841988974","240.25842607653587"
"mineiroptrn","3.25","224.28589535075923","223.35639975334107"
"rubenspereirajr","3","248.5400461920271","277.8599455590129"
"PauloRocha_13","3","240.5875165352155","118.72287826095983"
"marciojerry","3","257.6390803986181","170.63045328368554"
"nelsonpelegrino","2.75","156.27745043217396","228.42083592352833"
"achinaglia","2.75","175.24824122660678","177.69960585637727"
"depmarcelonilo","2.75","271.5481278195392","219.89688761499383"
"perpetua_acre","2.75","146.98032970591973","255.02108913764317"
"Daniel_PCdoB","2.75","174.1056828417296","110.94890027484477"
"SenadorRogerio","2.5","232.6489469478633","172.3304520346803"
"wdiaspi","2.25","277.41257689724074","168.89627248791064"
"EdvaldoNogueira","2.25","287.24629692405546","163.6499176956988"
"depzeneto","2.25","230.4558108968952","226.4353690140502"
"RubensOtoni","2.25","276.82957695072434","174.46468992509784"
"alielmachado","2.25","236.18731975121295","223.3939857613055"
"josiasgomesba","2","171.72794653533958","183.4563413361238"
"JoseAirtonPT","2","190.83824464848072","128.51807113401128"
"vanderloubet","2","278.10346466199235","251.651866509605"
"assis_carvalho","2","234.7213992845281","263.5941641260221"
"BetoFaroPT","1.75","154.27664725298695","170.33305799911915"
"renildo","1.75","205.4581253415634","187.6534422009186"
"deppauloguedes","1.75","265.9509820750728","160.30290837897883"
"Dep_ZeCarlosPT","1.5","198.60513892196863","198.60914859993187"
"waldenorpereira","1.5","146.85178236095646","221.36518349780448"
"cartacapital","12","263.71252085121307","270.4367243279724"
"QuebrandoOTabu","11.5","164.03118493666219","148.12608608744048"
"elpais_brasil","10.25","234.6835241178201","186.58814485924904"
"revistapiaui","10","267.5270796455867","202.52312244245687"
"NexoJornal","8.25","244.7738633985218","168.74368732401066"
"agencialupa","7.75","284.6867392862529","242.39267225164664"
"brasil247","7.75","174.96508302859135","266.4439575359976"
"aosfatos","7.25","251.10848573074057","211.86648787659718"
"BuzzFeedNewsBR","7.25","202.74092384623452","225.40387533730035"
