"Bairro","preco","Data","Dormitorios"
"SÃO MATEUS",NA,2019-04-01,"1"
"SÃO MIGUEL PAULISTA",NA,2019-04-01,"1"
"SAPOPEMBA",NA,2019-04-01,"1"
"SAÚDE","9793 ",2019-04-01,"1"
"TATUAPÉ","8792 ",2019-04-01,"1"
"TUCURUVI","7243 ",2019-04-01,"1"
"VILA ANDRADE","7025 ",2019-04-01,"1"
"VILA CARRÃO","5986 ",2019-04-01,"1"
"VILA CLEMENTINO","10016 ",2019-04-01,"1"
"VILA FORMOSA","8074 ",2019-04-01,"1"
"VILA LEOPOLDINA","9140 ",2019-04-01,"1"
"VILA MARIA","6797 ",2019-04-01,"1"
"VILA MARIANA","10910 ",2019-04-01,"1"
"VILA MASCOTE","8237 ",2019-04-01,"1"
"VILA NOVA CONCEIÇÃO","15180 ",2019-04-01,"1"
"VILA OLÍMPIA","14733 ",2019-04-01,"1"
"VILA PRUDENTE","6392 ",2019-04-01,"1"
"VILA ROMANA","7434 ",2019-04-01,"1"
"VILA SÔNIA","5140 ",2019-04-01,"1"
"ACLIMAÇÃO","7513 ",2018-04-01,"2"
"ALTO DA BOA VISTA","8646 ",2018-04-01,"2"
"BARRA FUNDA","8256 ",2018-04-01,"2"
"BELA VISTA","7358 ",2018-04-01,"2"
"BELÉM","6661 ",2018-04-01,"2"
"BRÁS","5932 ",2018-04-01,"2"
"BROOKLIN PAULISTA","10710 ",2018-04-01,"2"
"BUTANTÃ","5630 ",2018-04-01,"2"
"CAMPO BELO","9649 ",2018-04-01,"2"
"CAMPO GRANDE","5761 ",2018-04-01,"2"
"CAMPO LIMPO","4618 ",2018-04-01,"2"
"CANGAÍBA","4801 ",2018-04-01,"2"
"CASA VERDE","6456 ",2018-04-01,"2"
"CENTRO","6463 ",2018-04-01,"2"
"CHÁCARA KLABIN","10210 ",2018-04-01,"2"
"CONSOLAÇÃO","9306 ",2018-04-01,"2"
"FREGUESIA DO Ó","5933 ",2018-04-01,"2"
"HIGIENÓPOLIS","9003 ",2018-04-01,"2"
"INTERLAGOS","6062 ",2018-04-01,"2"
"IPIRANGA","7177 ",2018-04-01,"2"
"ITAIM BIBI","11614 ",2018-04-01,"2"
"ITAIM PAULISTA","3802 ",2018-04-01,"2"
"ITAQUERA","4357 ",2018-04-01,"2"
"JABAQUARA","6354 ",2018-04-01,"2"
"JAGUARÉ","6345 ",2018-04-01,"2"
"JARDIM AMÉRICA","11213 ",2018-04-01,"2"
"JARDIM MARAJOARA","6377 ",2018-04-01,"2"
"JARDIM PAULISTA","10431 ",2018-04-01,"2"
"JARDIM SAÚDE","6467 ",2018-04-01,"2"
"JARDINS","10501 ",2018-04-01,"2"
"LAPA","8207 ",2018-04-01,"2"
"LIMÃO","6166 ",2018-04-01,"2"
"MOEMA","10610 ",2018-04-01,"2"
"MOOCA","6674 ",2018-04-01,"2"
"MORUMBI","6167 ",2018-04-01,"2"
"PANAMBY","6874 ",2018-04-01,"2"
"PARAÍSO","8954 ",2018-04-01,"2"
"PENHA","5442 ",2018-04-01,"2"
"PERDIZES","8680 ",2018-04-01,"2"
"PINHEIROS","10530 ",2018-04-01,"2"
"PIRITUBA","5479 ",2018-04-01,"2"
"POMPÉIA","9841 ",2018-04-01,"2"
"REAL PARQUE","6697 ",2018-04-01,"2"
"SACOMÃ","5798 ",2018-04-01,"2"
