"Bairro","preco","Data","Dormitorios"
"ACLIMAÇÃO","8664 ",2018-01-01,"1"
"ALTO DA BOA VISTA","10175 ",2018-01-01,"1"
"BARRA FUNDA","9209 ",2018-01-01,"1"
"BELA VISTA","8466 ",2018-01-01,"1"
"BELÉM","5909 ",2018-01-01,"1"
"BRÁS","6662 ",2018-01-01,"1"
"BROOKLIN PAULISTA","11786 ",2018-01-01,"1"
"BUTANTÃ","7034 ",2018-01-01,"1"
"CAMPO BELO","10945 ",2018-01-01,"1"
"CAMPO GRANDE",NA,2018-01-01,"1"
"CAMPO LIMPO","4768 ",2018-01-01,"1"
"CANGAÍBA","4944 ",2018-01-01,"1"
"CASA VERDE","6421 ",2018-01-01,"1"
"CENTRO","6921 ",2018-01-01,"1"
"CHÁCARA KLABIN","11117 ",2018-01-01,"1"
"CONSOLAÇÃO","10534 ",2018-01-01,"1"
"FREGUESIA DO Ó",NA,2018-01-01,"1"
"HIGIENÓPOLIS","9865 ",2018-01-01,"1"
"INTERLAGOS","6258 ",2018-01-01,"1"
"IPIRANGA","8027 ",2018-01-01,"1"
"ITAIM BIBI","14542 ",2018-01-01,"1"
"ITAIM PAULISTA",NA,2018-01-01,"1"
"ITAQUERA","4775 ",2018-01-01,"1"
"JABAQUARA","7823 ",2018-01-01,"1"
"JAGUARÉ","6441 ",2018-01-01,"1"
"JARDIM AMÉRICA","13125 ",2018-01-01,"1"
"JARDIM MARAJOARA","6628 ",2018-01-01,"1"
"JARDIM PAULISTA","12760 ",2018-01-01,"1"
"JARDIM SAÚDE",NA,2018-01-01,"1"
"JARDINS","13099 ",2018-01-01,"1"
"LAPA",NA,2018-01-01,"1"
"LIMÃO","6686 ",2018-01-01,"1"
"MOEMA","11149 ",2018-01-01,"1"
"MOOCA","6362 ",2018-01-01,"1"
"MORUMBI","7128 ",2018-01-01,"1"
"PANAMBY","7419 ",2018-01-01,"1"
"PARAÍSO","11400 ",2018-01-01,"1"
"PENHA","5618 ",2018-01-01,"1"
"PERDIZES","11145 ",2018-01-01,"1"
"PINHEIROS","12914 ",2018-01-01,"1"
"PIRITUBA","5520 ",2018-01-01,"1"
"POMPÉIA","10998 ",2018-01-01,"1"
"REAL PARQUE","6978 ",2018-01-01,"1"
"SACOMÃ","5846 ",2018-01-01,"1"
"SANTA CECÍLIA","7785 ",2018-01-01,"1"
"SANTANA","8042 ",2018-01-01,"1"
"SÃO MATEUS","5102 ",2018-01-01,"1"
"SÃO MIGUEL PAULISTA",NA,2018-01-01,"1"
"SAPOPEMBA",NA,2018-01-01,"1"
"SAÚDE","9740 ",2018-01-01,"1"
"TATUAPÉ","8586 ",2018-01-01,"1"
"TUCURUVI","7210 ",2018-01-01,"1"
"VILA ANDRADE","7000 ",2018-01-01,"1"
"VILA CARRÃO","6280 ",2018-01-01,"1"
"VILA CLEMENTINO","8892 ",2018-01-01,"1"
"VILA FORMOSA","7422 ",2018-01-01,"1"
"VILA LEOPOLDINA","8773 ",2018-01-01,"1"
"VILA MARIA","7347 ",2018-01-01,"1"
"VILA MARIANA","10696 ",2018-01-01,"1"
"VILA MASCOTE","8193 ",2018-01-01,"1"
"VILA NOVA CONCEIÇÃO","15236 ",2018-01-01,"1"
"VILA OLÍMPIA","14038 ",2018-01-01,"1"
"VILA PRUDENTE","6443 ",2018-01-01,"1"
"VILA ROMANA","8688 ",2018-01-01,"1"
"VILA SÔNIA","6821 ",2018-01-01,"1"
"ACLIMAÇÃO","8812 ",2019-01-01,"1"
"ALTO DA BOA VISTA","10342 ",2019-01-01,"1"
"BARRA FUNDA","9057 ",2019-01-01,"1"
"BELA VISTA","8612 ",2019-01-01,"1"
"BELÉM","5953 ",2019-01-01,"1"
"BRÁS","6705 ",2019-01-01,"1"
"BROOKLIN PAULISTA","12124 ",2019-01-01,"1"
"BUTANTÃ","7160 ",2019-01-01,"1"
"CAMPO BELO","11102 ",2019-01-01,"1"
"CAMPO GRANDE","6017 ",2019-01-01,"1"
"CAMPO LIMPO","4846 ",2019-01-01,"1"
"CANGAÍBA","5140 ",2019-01-01,"1"
"CASA VERDE","6511 ",2019-01-01,"1"
"CENTRO","7024 ",2019-01-01,"1"
"CHÁCARA KLABIN","11411 ",2019-01-01,"1"
"CONSOLAÇÃO","10161 ",2019-01-01,"1"
"FREGUESIA DO Ó","6441 ",2019-01-01,"1"
"HIGIENÓPOLIS","10297 ",2019-01-01,"1"
"INTERLAGOS","6236 ",2019-01-01,"1"
"IPIRANGA","7929 ",2019-01-01,"1"
"ITAIM BIBI","13971 ",2019-01-01,"1"
"ITAIM PAULISTA",NA,2019-01-01,"1"
"ITAQUERA","4604 ",2019-01-01,"1"
"JABAQUARA","7590 ",2019-01-01,"1"
"JAGUARÉ","6595 ",2019-01-01,"1"
"JARDIM AMÉRICA","12595 ",2019-01-01,"1"
"JARDIM MARAJOARA","6263 ",2019-01-01,"1"
"JARDIM PAULISTA","12347 ",2019-01-01,"1"
"JARDIM SAÚDE","8032 ",2019-01-01,"1"
"JARDINS","12184 ",2019-01-01,"1"
"LAPA",NA,2019-01-01,"1"
"LIMÃO","7449 ",2019-01-01,"1"
"MOEMA","11174 ",2019-01-01,"1"
"MOOCA","6383 ",2019-01-01,"1"
"MORUMBI","7059 ",2019-01-01,"1"
"PANAMBY","7578 ",2019-01-01,"1"
"PARAÍSO","10369 ",2019-01-01,"1"
"PENHA","5592 ",2019-01-01,"1"
"PERDIZES","11156 ",2019-01-01,"1"
"PINHEIROS","13403 ",2019-01-01,"1"
"PIRITUBA","5506 ",2019-01-01,"1"
"POMPÉIA","11243 ",2019-01-01,"1"
"REAL PARQUE","7726 ",2019-01-01,"1"
"SACOMÃ","5681 ",2019-01-01,"1"
"SANTA CECÍLIA","7955 ",2019-01-01,"1"
"SANTANA","8276 ",2019-01-01,"1"
"SÃO MATEUS","5017 ",2019-01-01,"1"
"SÃO MIGUEL PAULISTA",NA,2019-01-01,"1"
"SAPOPEMBA",NA,2019-01-01,"1"
"SAÚDE","9725 ",2019-01-01,"1"
"TATUAPÉ","8601 ",2019-01-01,"1"
"TUCURUVI","6840 ",2019-01-01,"1"
"VILA ANDRADE","7039 ",2019-01-01,"1"
"VILA CARRÃO","6012 ",2019-01-01,"1"
"VILA CLEMENTINO","9583 ",2019-01-01,"1"
"VILA FORMOSA","7998 ",2019-01-01,"1"
"VILA LEOPOLDINA","9278 ",2019-01-01,"1"
"VILA MARIA","7031 ",2019-01-01,"1"
"VILA MARIANA","10755 ",2019-01-01,"1"
"VILA MASCOTE","8170 ",2019-01-01,"1"
"VILA NOVA CONCEIÇÃO","14495 ",2019-01-01,"1"
"VILA OLÍMPIA","14350 ",2019-01-01,"1"
"VILA PRUDENTE","6359 ",2019-01-01,"1"
"VILA ROMANA","7196 ",2019-01-01,"1"
"VILA SÔNIA","5110 ",2019-01-01,"1"
"ACLIMAÇÃO","7700 ",2018-01-01,"2"
"ALTO DA BOA VISTA","8808 ",2018-01-01,"2"
"BARRA FUNDA","8553 ",2018-01-01,"2"
"BELA VISTA","7818 ",2018-01-01,"2"
"BELÉM","6482 ",2018-01-01,"2"
"BRÁS","5890 ",2018-01-01,"2"
"BROOKLIN PAULISTA","10786 ",2018-01-01,"2"
"BUTANTÃ","5688 ",2018-01-01,"2"
"CAMPO BELO","9791 ",2018-01-01,"2"
"CAMPO GRANDE","5698 ",2018-01-01,"2"
"CAMPO LIMPO","4613 ",2018-01-01,"2"
"CANGAÍBA","4784 ",2018-01-01,"2"
"CASA VERDE","6434 ",2018-01-01,"2"
"CENTRO","6575 ",2018-01-01,"2"
"CHÁCARA KLABIN","10126 ",2018-01-01,"2"
"CONSOLAÇÃO","9573 ",2018-01-01,"2"
"FREGUESIA DO Ó","5913 ",2018-01-01,"2"
"HIGIENÓPOLIS","8989 ",2018-01-01,"2"
"INTERLAGOS","6067 ",2018-01-01,"2"
"IPIRANGA","7312 ",2018-01-01,"2"
"ITAIM BIBI","11191 ",2018-01-01,"2"
"ITAIM PAULISTA","3831 ",2018-01-01,"2"
"ITAQUERA","4348 ",2018-01-01,"2"
"JABAQUARA","6351 ",2018-01-01,"2"
"JAGUARÉ","6361 ",2018-01-01,"2"
"JARDIM AMÉRICA","10978 ",2018-01-01,"2"
"JARDIM MARAJOARA","6415 ",2018-01-01,"2"
"JARDIM PAULISTA","10217 ",2018-01-01,"2"
"JARDIM SAÚDE","6355 ",2018-01-01,"2"
"JARDINS","10307 ",2018-01-01,"2"
"LAPA",NA,2018-01-01,"2"
"LIMÃO","6116 ",2018-01-01,"2"
"MOEMA","10652 ",2018-01-01,"2"
"MOOCA","6695 ",2018-01-01,"2"
"MORUMBI","6207 ",2018-01-01,"2"
"PANAMBY","6962 ",2018-01-01,"2"
"PARAÍSO","9119 ",2018-01-01,"2"
"PENHA","5426 ",2018-01-01,"2"
"PERDIZES","8941 ",2018-01-01,"2"
"PINHEIROS","10534 ",2018-01-01,"2"
"PIRITUBA","5455 ",2018-01-01,"2"
"POMPÉIA","9622 ",2018-01-01,"2"
"REAL PARQUE","6850 ",2018-01-01,"2"
"SACOMÃ","5752 ",2018-01-01,"2"
"SANTA CECÍLIA","7478 ",2018-01-01,"2"
"SANTANA","6455 ",2018-01-01,"2"
"SÃO MATEUS","4342 ",2018-01-01,"2"
"SÃO MIGUEL PAULISTA","4081 ",2018-01-01,"2"
"SAPOPEMBA","4692 ",2018-01-01,"2"
"SAÚDE","7984 ",2018-01-01,"2"
"TATUAPÉ","6961 ",2018-01-01,"2"
"TUCURUVI","6083 ",2018-01-01,"2"
"VILA ANDRADE","6172 ",2018-01-01,"2"
"VILA CARRÃO","6201 ",2018-01-01,"2"
"VILA CLEMENTINO","8864 ",2018-01-01,"2"
"VILA FORMOSA","6026 ",2018-01-01,"2"
"VILA LEOPOLDINA","9131 ",2018-01-01,"2"
"VILA MARIA","6306 ",2018-01-01,"2"
"VILA MARIANA","9320 ",2018-01-01,"2"
"VILA MASCOTE","7166 ",2018-01-01,"2"
"VILA NOVA CONCEIÇÃO","12888 ",2018-01-01,"2"
"VILA OLÍMPIA","10516 ",2018-01-01,"2"
"VILA PRUDENTE","6026 ",2018-01-01,"2"
"VILA ROMANA","9529 ",2018-01-01,"2"
"VILA SÔNIA","6198 ",2018-01-01,"2"
"ACLIMAÇÃO","7585 ",2019-01-01,"2"
"ALTO DA BOA VISTA","9064 ",2019-01-01,"2"
"BARRA FUNDA","8339 ",2019-01-01,"2"
"BELA VISTA","7522 ",2019-01-01,"2"
"BELÉM","6594 ",2019-01-01,"2"
"BRÁS","5966 ",2019-01-01,"2"
"BROOKLIN PAULISTA","10740 ",2019-01-01,"2"
"BUTANTÃ","5584 ",2019-01-01,"2"
"CAMPO BELO","9567 ",2019-01-01,"2"
"CAMPO GRANDE","5734 ",2019-01-01,"2"
"CAMPO LIMPO","4694 ",2019-01-01,"2"
"CANGAÍBA","4784 ",2019-01-01,"2"
"CASA VERDE","6430 ",2019-01-01,"2"
"CENTRO","6410 ",2019-01-01,"2"
"CHÁCARA KLABIN","10204 ",2019-01-01,"2"
"CONSOLAÇÃO","9107 ",2019-01-01,"2"
"FREGUESIA DO Ó","5860 ",2019-01-01,"2"
"HIGIENÓPOLIS","8990 ",2019-01-01,"2"
"INTERLAGOS","6053 ",2019-01-01,"2"
"IPIRANGA","7437 ",2019-01-01,"2"
"ITAIM BIBI","11098 ",2019-01-01,"2"
"ITAIM PAULISTA","3646 ",2019-01-01,"2"
"ITAQUERA","4367 ",2019-01-01,"2"
"JABAQUARA","6274 ",2019-01-01,"2"
"JAGUARÉ","6302 ",2019-01-01,"2"
"JARDIM AMÉRICA","11311 ",2019-01-01,"2"
"JARDIM MARAJOARA","6363 ",2019-01-01,"2"
"JARDIM PAULISTA","10425 ",2019-01-01,"2"
"JARDIM SAÚDE","6340 ",2019-01-01,"2"
"JARDINS","10604 ",2019-01-01,"2"
"LAPA","6465 ",2019-01-01,"2"
"LIMÃO","6038 ",2019-01-01,"2"
"MOEMA","10572 ",2019-01-01,"2"
"MOOCA","6497 ",2019-01-01,"2"
"MORUMBI","6183 ",2019-01-01,"2"
"PANAMBY","7123 ",2019-01-01,"2"
"PARAÍSO","8936 ",2019-01-01,"2"
"PENHA","5467 ",2019-01-01,"2"
"PERDIZES","8703 ",2019-01-01,"2"
"PINHEIROS","10476 ",2019-01-01,"2"
"PIRITUBA","5450 ",2019-01-01,"2"
"POMPÉIA","9512 ",2019-01-01,"2"
"REAL PARQUE","6731 ",2019-01-01,"2"
"SACOMÃ","5804 ",2019-01-01,"2"
"SANTA CECÍLIA","7347 ",2019-01-01,"2"
"SANTANA","6485 ",2019-01-01,"2"
"SÃO MATEUS","4404 ",2019-01-01,"2"
"SÃO MIGUEL PAULISTA","4102 ",2019-01-01,"2"
"SAPOPEMBA","4867 ",2019-01-01,"2"
"SAÚDE","8034 ",2019-01-01,"2"
"TATUAPÉ","7043 ",2019-01-01,"2"
"TUCURUVI","6226 ",2019-01-01,"2"
"VILA ANDRADE","6170 ",2019-01-01,"2"
"VILA CARRÃO","6273 ",2019-01-01,"2"
"VILA CLEMENTINO","8689 ",2019-01-01,"2"
"VILA FORMOSA","6239 ",2019-01-01,"2"
"VILA LEOPOLDINA","9210 ",2019-01-01,"2"
"VILA MARIA","6510 ",2019-01-01,"2"
"VILA MARIANA","9018 ",2019-01-01,"2"
"VILA MASCOTE","7192 ",2019-01-01,"2"
"VILA NOVA CONCEIÇÃO","11295 ",2019-01-01,"2"
"VILA OLÍMPIA","10590 ",2019-01-01,"2"
"VILA PRUDENTE","6163 ",2019-01-01,"2"
"VILA ROMANA","9427 ",2019-01-01,"2"
"VILA SÔNIA","6316 ",2019-01-01,"2"
"ACLIMAÇÃO","8430 ",2018-01-01,"3"
"ALTO DA BOA VISTA","7995 ",2018-01-01,"3"
"BARRA FUNDA","8777 ",2018-01-01,"3"
"BELA VISTA","7695 ",2018-01-01,"3"
"BELÉM","6560 ",2018-01-01,"3"
"BRÁS","6510 ",2018-01-01,"3"
"BROOKLIN PAULISTA","9992 ",2018-01-01,"3"
"BUTANTÃ","6082 ",2018-01-01,"3"
"CAMPO BELO","9112 ",2018-01-01,"3"
"CAMPO GRANDE","6021 ",2018-01-01,"3"
"CAMPO LIMPO","4583 ",2018-01-01,"3"
"CANGAÍBA","4739 ",2018-01-01,"3"
"CASA VERDE","6749 ",2018-01-01,"3"
"CENTRO","6294 ",2018-01-01,"3"
"CHÁCARA KLABIN","9546 ",2018-01-01,"3"
"CONSOLAÇÃO","8388 ",2018-01-01,"3"
"FREGUESIA DO Ó","6362 ",2018-01-01,"3"
"HIGIENÓPOLIS","9138 ",2018-01-01,"3"
"INTERLAGOS","6078 ",2018-01-01,"3"
"IPIRANGA","8043 ",2018-01-01,"3"
"ITAIM BIBI","10649 ",2018-01-01,"3"
"ITAIM PAULISTA","3407 ",2018-01-01,"3"
"ITAQUERA","4466 ",2018-01-01,"3"
"JABAQUARA","6827 ",2018-01-01,"3"
"JAGUARÉ","6432 ",2018-01-01,"3"
"JARDIM AMÉRICA","11044 ",2018-01-01,"3"
"JARDIM MARAJOARA","6579 ",2018-01-01,"3"
"JARDIM PAULISTA","9931 ",2018-01-01,"3"
"JARDIM SAÚDE","7230 ",2018-01-01,"3"
"JARDINS","10136 ",2018-01-01,"3"
"LAPA",NA,2018-01-01,"3"
"LIMÃO","6447 ",2018-01-01,"3"
"MOEMA","10184 ",2018-01-01,"3"
"MOOCA","7372 ",2018-01-01,"3"
"MORUMBI","5881 ",2018-01-01,"3"
"PANAMBY","6885 ",2018-01-01,"3"
"PARAÍSO","8608 ",2018-01-01,"3"
"PENHA","5689 ",2018-01-01,"3"
"PERDIZES","9057 ",2018-01-01,"3"
"PINHEIROS","9866 ",2018-01-01,"3"
"PIRITUBA","6164 ",2018-01-01,"3"
"POMPÉIA","9323 ",2018-01-01,"3"
"REAL PARQUE","6573 ",2018-01-01,"3"
"SACOMÃ","5664 ",2018-01-01,"3"
"SANTA CECÍLIA","7887 ",2018-01-01,"3"
"SANTANA","7000 ",2018-01-01,"3"
"SÃO MATEUS","4553 ",2018-01-01,"3"
"SÃO MIGUEL PAULISTA","4398 ",2018-01-01,"3"
"SAPOPEMBA","4774 ",2018-01-01,"3"
"SAÚDE","8053 ",2018-01-01,"3"
"TATUAPÉ","7080 ",2018-01-01,"3"
"TUCURUVI","6442 ",2018-01-01,"3"
"VILA ANDRADE","5924 ",2018-01-01,"3"
"VILA CARRÃO","6858 ",2018-01-01,"3"
"VILA CLEMENTINO","9372 ",2018-01-01,"3"
"VILA FORMOSA","6403 ",2018-01-01,"3"
"VILA LEOPOLDINA","9619 ",2018-01-01,"3"
"VILA MARIA","6978 ",2018-01-01,"3"
"VILA MARIANA","9298 ",2018-01-01,"3"
"VILA MASCOTE","7949 ",2018-01-01,"3"
"VILA NOVA CONCEIÇÃO","15640 ",2018-01-01,"3"
"VILA OLÍMPIA","10242 ",2018-01-01,"3"
"VILA PRUDENTE","6516 ",2018-01-01,"3"
"VILA ROMANA","9884 ",2018-01-01,"3"
"VILA SÔNIA","6298 ",2018-01-01,"3"
"ACLIMAÇÃO","8341 ",2019-01-01,"3"
"ALTO DA BOA VISTA","8034 ",2019-01-01,"3"
"BARRA FUNDA","8588 ",2019-01-01,"3"
"BELA VISTA","7576 ",2019-01-01,"3"
"BELÉM","6466 ",2019-01-01,"3"
"BRÁS","6655 ",2019-01-01,"3"
"BROOKLIN PAULISTA","9715 ",2019-01-01,"3"
"BUTANTÃ","6053 ",2019-01-01,"3"
"CAMPO BELO","8918 ",2019-01-01,"3"
"CAMPO GRANDE","6073 ",2019-01-01,"3"
"CAMPO LIMPO","4587 ",2019-01-01,"3"
"CANGAÍBA","4804 ",2019-01-01,"3"
"CASA VERDE","6686 ",2019-01-01,"3"
"CENTRO","5862 ",2019-01-01,"3"
"CHÁCARA KLABIN","9503 ",2019-01-01,"3"
"CONSOLAÇÃO","8295 ",2019-01-01,"3"
"FREGUESIA DO Ó","6327 ",2019-01-01,"3"
"HIGIENÓPOLIS","9327 ",2019-01-01,"3"
"INTERLAGOS","6012 ",2019-01-01,"3"
"IPIRANGA","7847 ",2019-01-01,"3"
"ITAIM BIBI","10909 ",2019-01-01,"3"
"ITAIM PAULISTA","3545 ",2019-01-01,"3"
"ITAQUERA","4542 ",2019-01-01,"3"
"JABAQUARA","6613 ",2019-01-01,"3"
"JAGUARÉ","6297 ",2019-01-01,"3"
"JARDIM AMÉRICA","11423 ",2019-01-01,"3"
"JARDIM MARAJOARA","6457 ",2019-01-01,"3"
"JARDIM PAULISTA","10190 ",2019-01-01,"3"
"JARDIM SAÚDE","7232 ",2019-01-01,"3"
"JARDINS","10298 ",2019-01-01,"3"
"LAPA","4519 ",2019-01-01,"3"
"LIMÃO","6309 ",2019-01-01,"3"
"MOEMA","10231 ",2019-01-01,"3"
"MOOCA","7292 ",2019-01-01,"3"
"MORUMBI","5881 ",2019-01-01,"3"
"PANAMBY","7011 ",2019-01-01,"3"
"PARAÍSO","8866 ",2019-01-01,"3"
"PENHA","5757 ",2019-01-01,"3"
"PERDIZES","8798 ",2019-01-01,"3"
"PINHEIROS","9860 ",2019-01-01,"3"
"PIRITUBA","6056 ",2019-01-01,"3"
"POMPÉIA","9339 ",2019-01-01,"3"
"REAL PARQUE","6508 ",2019-01-01,"3"
"SACOMÃ","5722 ",2019-01-01,"3"
"SANTA CECÍLIA","8000 ",2019-01-01,"3"
"SANTANA","6851 ",2019-01-01,"3"
"SÃO MATEUS","4512 ",2019-01-01,"3"
"SÃO MIGUEL PAULISTA","4461 ",2019-01-01,"3"
"SAPOPEMBA","4962 ",2019-01-01,"3"
"SAÚDE","8117 ",2019-01-01,"3"
"TATUAPÉ","7121 ",2019-01-01,"3"
"TUCURUVI","6255 ",2019-01-01,"3"
"VILA ANDRADE","5936 ",2019-01-01,"3"
"VILA CARRÃO","6728 ",2019-01-01,"3"
"VILA CLEMENTINO","9183 ",2019-01-01,"3"
"VILA FORMOSA","6361 ",2019-01-01,"3"
"VILA LEOPOLDINA","9539 ",2019-01-01,"3"
"VILA MARIA","6823 ",2019-01-01,"3"
"VILA MARIANA","9133 ",2019-01-01,"3"
"VILA MASCOTE","7891 ",2019-01-01,"3"
"VILA NOVA CONCEIÇÃO","15459 ",2019-01-01,"3"
"VILA OLÍMPIA","10240 ",2019-01-01,"3"
"VILA PRUDENTE","6567 ",2019-01-01,"3"
"VILA ROMANA","9783 ",2019-01-01,"3"
"VILA SÔNIA","6447 ",2019-01-01,"3"
"ACLIMAÇÃO","9364 ",2018-01-01,"4"
"ALTO DA BOA VISTA","8315 ",2018-01-01,"4"
"BARRA FUNDA","9092 ",2018-01-01,"4"
"BELA VISTA","8010 ",2018-01-01,"4"
"BELÉM","6113 ",2018-01-01,"4"
"BRÁS","10086 ",2018-01-01,"4"
"BROOKLIN PAULISTA","10137 ",2018-01-01,"4"
"BUTANTÃ","6445 ",2018-01-01,"4"
"CAMPO BELO","9777 ",2018-01-01,"4"
"CAMPO GRANDE","7195 ",2018-01-01,"4"
"CAMPO LIMPO",NA,2018-01-01,"4"
"CANGAÍBA",NA,2018-01-01,"4"
"CASA VERDE","8673 ",2018-01-01,"4"
"CENTRO","7800 ",2018-01-01,"4"
"CHÁCARA KLABIN","10133 ",2018-01-01,"4"
"CONSOLAÇÃO","9666 ",2018-01-01,"4"
"FREGUESIA DO Ó","5374 ",2018-01-01,"4"
"HIGIENÓPOLIS","10135 ",2018-01-01,"4"
"INTERLAGOS","6923 ",2018-01-01,"4"
"IPIRANGA","8186 ",2018-01-01,"4"
"ITAIM BIBI","12843 ",2018-01-01,"4"
"ITAIM PAULISTA",NA,2018-01-01,"4"
"ITAQUERA",NA,2018-01-01,"4"
"JABAQUARA","7497 ",2018-01-01,"4"
"JAGUARÉ","7409 ",2018-01-01,"4"
"JARDIM AMÉRICA","12356 ",2018-01-01,"4"
"JARDIM MARAJOARA","7222 ",2018-01-01,"4"
"JARDIM PAULISTA","11463 ",2018-01-01,"4"
"JARDIM SAÚDE","6306 ",2018-01-01,"4"
"JARDINS","11632 ",2018-01-01,"4"
"LAPA",NA,2018-01-01,"4"
"LIMÃO",NA,2018-01-01,"4"
"MOEMA","10659 ",2018-01-01,"4"
"MOOCA","7080 ",2018-01-01,"4"
"MORUMBI","5176 ",2018-01-01,"4"
"PANAMBY","7079 ",2018-01-01,"4"
"PARAÍSO","11361 ",2018-01-01,"4"
"PENHA","4095 ",2018-01-01,"4"
"PERDIZES","10141 ",2018-01-01,"4"
"PINHEIROS","11087 ",2018-01-01,"4"
"PIRITUBA","7984 ",2018-01-01,"4"
"POMPÉIA","9993 ",2018-01-01,"4"
"REAL PARQUE","6455 ",2018-01-01,"4"
"SACOMÃ",NA,2018-01-01,"4"
"SANTA CECÍLIA","9263 ",2018-01-01,"4"
"SANTANA","7743 ",2018-01-01,"4"
"SÃO MATEUS",NA,2018-01-01,"4"
"SÃO MIGUEL PAULISTA",NA,2018-01-01,"4"
"SAPOPEMBA",NA,2018-01-01,"4"
"SAÚDE","8643 ",2018-01-01,"4"
"TATUAPÉ","7150 ",2018-01-01,"4"
"TUCURUVI","6047 ",2018-01-01,"4"
"VILA ANDRADE","5562 ",2018-01-01,"4"
"VILA CARRÃO","5938 ",2018-01-01,"4"
"VILA CLEMENTINO","9710 ",2018-01-01,"4"
"VILA FORMOSA","5663 ",2018-01-01,"4"
"VILA LEOPOLDINA","9987 ",2018-01-01,"4"
"VILA MARIA","8641 ",2018-01-01,"4"
"VILA MARIANA","10861 ",2018-01-01,"4"
"VILA MASCOTE","8176 ",2018-01-01,"4"
"VILA NOVA CONCEIÇÃO","18553 ",2018-01-01,"4"
"VILA OLÍMPIA","12028 ",2018-01-01,"4"
"VILA PRUDENTE","6738 ",2018-01-01,"4"
"VILA ROMANA","10456 ",2018-01-01,"4"
"VILA SÔNIA","5519 ",2018-01-01,"4"
"ACLIMAÇÃO","9369 ",2019-01-01,"4"
"ALTO DA BOA VISTA","8147 ",2019-01-01,"4"
"BARRA FUNDA","9002 ",2019-01-01,"4"
"BELA VISTA","7873 ",2019-01-01,"4"
"BELÉM","6510 ",2019-01-01,"4"
"BRÁS",NA,2019-01-01,"4"
"BROOKLIN PAULISTA","9943 ",2019-01-01,"4"
"BUTANTÃ","6496 ",2019-01-01,"4"
"CAMPO BELO","9609 ",2019-01-01,"4"
"CAMPO GRANDE","6905 ",2019-01-01,"4"
"CAMPO LIMPO",NA,2019-01-01,"4"
"CANGAÍBA",NA,2019-01-01,"4"
"CASA VERDE","6334 ",2019-01-01,"4"
"CENTRO","5994 ",2019-01-01,"4"
"CHÁCARA KLABIN","10369 ",2019-01-01,"4"
"CONSOLAÇÃO","10339 ",2019-01-01,"4"
"FREGUESIA DO Ó","5277 ",2019-01-01,"4"
"HIGIENÓPOLIS","10239 ",2019-01-01,"4"
"INTERLAGOS","6639 ",2019-01-01,"4"
"IPIRANGA","8271 ",2019-01-01,"4"
"ITAIM BIBI","13701 ",2019-01-01,"4"
"ITAIM PAULISTA",NA,2019-01-01,"4"
"ITAQUERA",NA,2019-01-01,"4"
"JABAQUARA","7270 ",2019-01-01,"4"
"JAGUARÉ","7787 ",2019-01-01,"4"
"JARDIM AMÉRICA","12697 ",2019-01-01,"4"
"JARDIM MARAJOARA","7278 ",2019-01-01,"4"
"JARDIM PAULISTA","11686 ",2019-01-01,"4"
"JARDIM SAÚDE","6198 ",2019-01-01,"4"
"JARDINS","11883 ",2019-01-01,"4"
"LAPA","8723 ",2019-01-01,"4"
"LIMÃO",NA,2019-01-01,"4"
"MOEMA","10917 ",2019-01-01,"4"
"MOOCA","6876 ",2019-01-01,"4"
"MORUMBI","5181 ",2019-01-01,"4"
"PANAMBY","7219 ",2019-01-01,"4"
"PARAÍSO","11743 ",2019-01-01,"4"
"PENHA","3921 ",2019-01-01,"4"
"PERDIZES","10382 ",2019-01-01,"4"
"PINHEIROS","11248 ",2019-01-01,"4"
"PIRITUBA","7561 ",2019-01-01,"4"
"POMPÉIA","10385 ",2019-01-01,"4"
"REAL PARQUE","6228 ",2019-01-01,"4"
"SACOMÃ","7172 ",2019-01-01,"4"
"SANTA CECÍLIA","9759 ",2019-01-01,"4"
"SANTANA","7586 ",2019-01-01,"4"
"SÃO MATEUS",NA,2019-01-01,"4"
"SÃO MIGUEL PAULISTA",NA,2019-01-01,"4"
"SAPOPEMBA",NA,2019-01-01,"4"
"SAÚDE","8379 ",2019-01-01,"4"
"TATUAPÉ","7331 ",2019-01-01,"4"
"TUCURUVI","5405 ",2019-01-01,"4"
"VILA ANDRADE","5534 ",2019-01-01,"4"
"VILA CARRÃO","6233 ",2019-01-01,"4"
"VILA CLEMENTINO","9817 ",2019-01-01,"4"
"VILA FORMOSA","5334 ",2019-01-01,"4"
"VILA LEOPOLDINA","9837 ",2019-01-01,"4"
"VILA MARIA","7902 ",2019-01-01,"4"
"VILA MARIANA","10991 ",2019-01-01,"4"
"VILA MASCOTE","8179 ",2019-01-01,"4"
"VILA NOVA CONCEIÇÃO","19227 ",2019-01-01,"4"
"VILA OLÍMPIA","12626 ",2019-01-01,"4"
"VILA PRUDENTE","7122 ",2019-01-01,"4"
"VILA ROMANA","10570 ",2019-01-01,"4"
"VILA SÔNIA","5523 ",2019-01-01,"4"
"ACLIMAÇÃO","8999 ",2018-02-01,"1"
"ALTO DA BOA VISTA","10197 ",2018-02-01,"1"
"BARRA FUNDA","9322 ",2018-02-01,"1"
"BELA VISTA","8552 ",2018-02-01,"1"
"BELÉM","5848 ",2018-02-01,"1"
"BRÁS","6650 ",2018-02-01,"1"
"BROOKLIN PAULISTA","11778 ",2018-02-01,"1"
